description,address,type,price,size,bedrooms,bathrooms,parking_spaces,modo
"Avenida Jacarandá, SUL, AGUAS CLARAS",,Aluguel Garagem,300,,,,1 Vaga,aluguel
"Avenida Comercial, TAQUARI, BRASILIA",,Aluguel Lote/Terreno/Área 2245 m²,55.000,2245 m²,,,,aluguel
"QSA 11, TAGUATINGA SUL, TAGUATINGA",,Aluguel Sala 30 m²,850,30 m²,,,,aluguel
"SQSW 303 Bloco J, SUDOESTE, BRASILIA",,Aluguel Apartamento 79 m²,4.000,79 m²,2 Quartos,,1 Vaga,aluguel
"QMSW 5, SUDOESTE, BRASILIA",,Aluguel Kitnet 27 m²,2.200,27 m²,1 Quarto,,,aluguel
"Quadra 105, NORTE, AGUAS CLARAS",,Aluguel Apartamento 112 m²,3.700,112 m²,3 Quartos,,1 Vaga,aluguel
"Condomínio Jardim Botânico V, JARDIM BOTANICO, BRASILIA",,Aluguel Apartamento 75 m²,2.500,75 m²,2 Quartos,,,aluguel
"CLN 303 Bloco A, ASA NORTE, BRASILIA",,Aluguel Loja 50 m²,5.750,50 m²,,,,aluguel
"Rua COPAIBA, NORTE, AGUAS CLARAS",,Aluguel Sala 33 m²,3.000,33 m²,,,1 Vaga,aluguel
"SHCGN 703 Bloco R, ASA NORTE, BRASILIA",,Aluguel Apartamento 40 m²,3.200,40 m²,1 Quarto,,1 Vaga,aluguel
"Rua ARARIBA, SUL, AGUAS CLARAS",,Aluguel Sala 38 m²,4.000,38 m²,,,1 Vaga,aluguel
"SHIS QI 28 Chacará s 7 a 12, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 450 m²,22.000,450 m²,4 Quartos,,2 Vagas,aluguel
"SHIS QI 15 Chacarás 49 A 56, LAGO SUL, BRASILIA",,Aluguel Casa 1000 m²,45.000,1000 m²,5 Quartos,,8 Vagas,aluguel
"CLN 111 Bloco C, ASA NORTE, BRASILIA",,Aluguel Sala 23 m²,990,23 m²,,,,aluguel
"SCS Quadra 1, ASA SUL, BRASILIA",,Aluguel Sala 30 m²,400,30 m²,,,,aluguel
"SHIS QI 19 Bloco A, LAGO SUL, BRASILIA",,Aluguel Loja 205 m²,10.000,205 m²,,,,aluguel
"Quadra 9 Conjunto B, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 800 m²,6.000,800 m²,3 Quartos,,2 Vagas,aluguel
"QC 13, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Casa 68 m²,3.000,68 m²,3 Quartos,,2 Vagas,aluguel
"Condomínio San Diego, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 500 m²,25.000,500 m²,5 Quartos,,,aluguel
"SHIS QI 15, LAGO SUL, BRASILIA",,Aluguel Casa 370 m²,14.300,370 m²,3 Quartos,,10 Vagas,aluguel
"SIG Quadra 8, SIG, BRASILIA",,Aluguel Sala 105 m²,4.500,105 m²,,,,aluguel
"SDS Bloco H, ASA SUL, BRASILIA",,Aluguel Loja 208 m²,4.800,208 m²,,,,aluguel
"SMHN Quadra 2 Bloco A, ASA NORTE, BRASILIA",,Aluguel Loja 53 m²,4.200,53 m²,,,,aluguel
"Área Especial 4, GUARA II, GUARA",,Aluguel Apartamento 91 m²,6.600,91 m²,2 Quartos,,2 Vagas,aluguel
"Quadra Central Lote K, SOBRADINHO, SOBRADINHO",,Aluguel Prédio 2000 m²,2.100,2000 m²,,,,aluguel
"SCS Quadra 01 Bloco E Lote 30, ASA SUL, BRASILIA",,Aluguel Sala 30 m²,600,30 m²,,,,aluguel
"Condomínio Le Jardin, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 400 m²,8.900,400 m²,5 Quartos,,,aluguel
"SHA Conjunto 6 Chacará 3, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa Condominio 250 m²,5.450,250 m²,4 Quartos,,3 Vagas,aluguel
"SQNW 109 Bloco F, NOROESTE, BRASILIA",,Aluguel Apartamento 78 m²,5.000,78 m²,2 Quartos,,1 Vaga,aluguel
"SHIS QI 9/11 Bloco M, LAGO SUL, BRASILIA",,Aluguel Loja 40 m²,3.800,40 m²,,,,aluguel
"CNB 1, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Sala 56 m²,1.650,56 m²,,,,aluguel
"CL 214, SANTA MARIA, SANTA MARIA",,Aluguel Galpão 40 m²,2.000,40 m²,,,,aluguel
"Quadra 8 Comércio Local 29, SOBRADINHO, SOBRADINHO",,Aluguel Loja 30 m²,1.200,30 m²,,,,aluguel
"SCN Quadra 01 Bloco F, ASA NORTE, BRASILIA",,Aluguel Sala 31 m²,1.200,31 m²,,,,aluguel
"EQSW 303/304, SUDOESTE, BRASILIA",,Aluguel Lote/Terreno/Área 3200 m²,95.000,3200 m²,,,,aluguel
"SHIS QI 9/11 Bloco M, LAGO SUL, BRASILIA",,Aluguel Loja 50 m²,4.500,50 m²,,,,aluguel
"SQN 303 Bloco H, ASA NORTE, BRASILIA",,Aluguel Apartamento 78 m²,4.200,78 m²,1 Quarto,,,aluguel
"SHIN QI 12, LAGO NORTE, BRASILIA",,Aluguel Casa 538 m²,14.000,538 m²,5 Quartos,,2 Vagas,aluguel
"Quadra 102, NORTE, AGUAS CLARAS",,Aluguel Apartamento 80 m²,3.100,80 m²,2 Quartos,,2 Vagas,aluguel
"Rua COPAIBA, NORTE, AGUAS CLARAS",,Aluguel Sala 34 m²,3.000,34 m²,,,1 Vaga,aluguel
"QC 1, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Apartamento 48 m²,2.300,48 m²,2 Quartos,,1 Vaga,aluguel
"Rua ARARIBA, SUL, AGUAS CLARAS",,Aluguel Sala 39 m²,4.000,39 m²,,,1 Vaga,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,Aluguel Apartamento 44 m²,2.100,44 m²,1 Quarto,,1 Vaga,aluguel
"SQNW 307 Bloco C, NOROESTE, BRASILIA",,Aluguel Apartamento 55 m²,2.800,55 m²,1 Quarto,,1 Vaga,aluguel
"Rua 17, SUL, AGUAS CLARAS",,Aluguel Apartamento 67 m²,3.190,67 m²,3 Quartos,,,aluguel
"SHS Quadra 06 Conjunto A Bloco F, ASA SUL, BRASILIA",,Aluguel Hotel Flat 42 m²,2.900,42 m²,1 Quarto,,,aluguel
"Avenida Jacarandá, SUL, AGUAS CLARAS",,Aluguel Garagem 30 m²,250,30 m²,,,1 Vaga,aluguel
"Avenida Parque Águas Claras Quadra 301 Conjunto 06, NORTE, AGUAS CLARAS",,Aluguel Apartamento 58 m²,2.300,58 m²,2 Quartos,,1 Vaga,aluguel
"QMSW 5 Lote 2 Bloco B, SUDOESTE, BRASILIA",,Aluguel Kitnet 26 m²,3.200,26 m²,1 Quarto,,1 Vaga,aluguel
"Rua 31, SUL, AGUAS CLARAS",,Aluguel Apartamento 56 m²,2.900,56 m²,2 Quartos,,,aluguel
"SQSW 504 Bloco H, SUDOESTE, BRASILIA",,Aluguel Apartamento 77 m²,4.300,77 m²,2 Quartos,,1 Vaga,aluguel
"CLN 310 Bloco B, ASA NORTE, BRASILIA",,Aluguel Sala 25 m²,900,25 m²,,,,aluguel
"Rua 14, NORTE, AGUAS CLARAS",,Aluguel Apartamento 68 m²,2.800,68 m²,2 Quartos,,1 Vaga,aluguel
"SEPS 713/913, ASA SUL, BRASILIA",,Aluguel Kitnet 29 m²,1.500,29 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QI 26 Conjunto 8, LAGO SUL, BRASILIA",,Aluguel Casa 359 m²,18.000,359 m²,2 Quartos,,3 Vagas,aluguel
"SHIN QI 8 Conjunto 12, LAGO NORTE, BRASILIA",,Aluguel Casa 648 m²,15.900,648 m²,6 Quartos,,4 Vagas,aluguel
"SHN Quadra 02 Bloco H, ASA NORTE, BRASILIA",,Aluguel Loja 27 m²,450,27 m²,,,,aluguel
"Condomínio Resid Maxximo Garden, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 600 m²,14.900,600 m²,4 Quartos,,4 Vagas,aluguel
"CL 413 Bloco B, SANTA MARIA, SANTA MARIA",,Aluguel Lote/Terreno/Área 4000 m²,29.000,4000 m²,,,,aluguel
"SIG Quadra 4, SIG, BRASILIA",,Aluguel Sala 41 m²,1.600,41 m²,,,1 Vaga,aluguel
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,Aluguel Kitnet 32 m²,1.250,32 m²,1 Quarto,,,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,Aluguel Apartamento 131 m²,9.000,131 m²,3 Quartos,,2 Vagas,aluguel
"Condominio Ville de Montagne, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 500 m²,8.600,500 m²,5 Quartos,,4 Vagas,aluguel
"SIG Quadra 2, SIG, BRASILIA",,Aluguel Sala 900 m²,135.000,900 m²,,,,aluguel
"SHIS QI 9, LAGO SUL, BRASILIA",,Aluguel Casa 1200 m²,24.900,1200 m²,5 Quartos,,4 Vagas,aluguel
"SHS Quadra 06 Blocos A AO F Lote 01, ASA SUL, BRASILIA",,Aluguel Sala 62 m²,7.000,62 m²,,,,aluguel
"SHN Quadra 1, ASA NORTE, BRASILIA",,Aluguel Sala 28 m²,1.000,28 m²,,,1 Vaga,aluguel
"SHTN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 53 m²,5.200,53 m²,1 Quarto,,1 Vaga,aluguel
"Condomínio Quintas do Sol, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 340 m²,7.900,340 m²,3 Quartos,,4 Vagas,aluguel
"SQNW 108 Bloco B, NOROESTE, BRASILIA",,Aluguel Apartamento 125 m²,9.900,125 m²,3 Quartos,,2 Vagas,aluguel
"Terceira Avenida Área Especial 2, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,Aluguel Loja 30 m²,1.250,30 m²,,,,aluguel
"Rua 25, SUL, AGUAS CLARAS",,Aluguel Loja 60 m²,4.000,60 m²,,,1 Vaga,aluguel
"SHIS QI 5 Conjunto 7, LAGO SUL, BRASILIA",,Aluguel Casa 550 m²,15.000,550 m²,4 Quartos,,2 Vagas,aluguel
"Quadra 208, SUL, AGUAS CLARAS",,Aluguel Apartamento 62 m²,4.100,62 m²,2 Quartos,,1 Vaga,aluguel
"SHDB QL 32 Conjunto 1, LAGO SUL, BRASILIA",,Aluguel Apartamento 120 m²,4.900,120 m²,3 Quartos,,2 Vagas,aluguel
"SRTVS Conjunto L Lote 38, ASA SUL, BRASILIA",,Aluguel Sala 33 m²,700,33 m²,,,,aluguel
"SHIS QI 19, LAGO SUL, BRASILIA",,Aluguel Casa 700 m²,24.000,700 m²,7 Quartos,,4 Vagas,aluguel
"SHIS QI 19, LAGO SUL, BRASILIA",,Aluguel Casa 719 m²,36.000,719 m²,7 Quartos,,4 Vagas,aluguel
"SHDB QL 32 Conjunto 14, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 170 m²,6.900,170 m²,2 Quartos,,4 Vagas,aluguel
"Condomínio Mansões Serranas, JARDIM BOTANICO, BRASILIA",,Aluguel Apartamento 58 m²,1.700,58 m²,2 Quartos,,,aluguel
"Conjunto Residencial 1 Cond 2 Bloco E, PARQUE DAS CACHOEIRAS, VALPARAISO DE GOIAS",,Aluguel Apartamento 48 m²,1.200,48 m²,2 Quartos,,1 Vaga,aluguel
"SMPW Quadra 20, PARK WAY, BRASILIA",,Aluguel Casa Condominio 600 m²,13.000,600 m²,5 Quartos,,3 Vagas,aluguel
"CLN 111 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 29 m²,1.000,29 m²,,,,aluguel
"Rua 21, SUL, AGUAS CLARAS",,Aluguel Apartamento 97 m²,3.600,97 m²,3 Quartos,,1 Vaga,aluguel
"Rua 12, VICENTE PIRES, VICENTE PIRES",,Aluguel Casa Condominio 600 m²,9.900,600 m²,5 Quartos,,,aluguel
"SMPW Quadra 15, PARK WAY, BRASILIA",,Aluguel Casa Condominio 530 m²,25.000,530 m²,5 Quartos,,2 Vagas,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,Aluguel Apartamento 164 m²,8.300,164 m²,4 Quartos,,3 Vagas,aluguel
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",,Aluguel Casa 280 m²,4.000,280 m²,4 Quartos,,3 Vagas,aluguel
"SHS Quadra 06 Conjunto A Bloco E, ASA SUL, BRASILIA",,Aluguel Sala 131 m²,15.200,131 m²,,,2 Vagas,aluguel
"QN 5 Conjunto 4, RIACHO FUNDO, RIACHO FUNDO",,Aluguel Apartamento 65 m²,1.400,65 m²,2 Quartos,,,aluguel
"QN 312, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Apartamento 49 m²,1.350,49 m²,2 Quartos,,1 Vaga,aluguel
"SCN Quadra 02 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 35 m²,1.100,35 m²,,,,aluguel
"SCN Quadra 01 Bloco F, ASA NORTE, BRASILIA",,Aluguel Sala 31 m²,950,31 m²,,,,aluguel
"SMAS Trecho 3 Lote 2, PARK SUL, BRASILIA",,Aluguel Hotel Flat 41 m²,3.000,41 m²,1 Quarto,,1 Vaga,aluguel
"Avenida São Sebastião, CENTRO, SAO SEBASTIAO",,Aluguel Apartamento 58 m²,1.600,58 m²,2 Quartos,,,aluguel
"SHIS QI 26, LAGO SUL, BRASILIA",,Aluguel Casa 1000 m²,40.000,1000 m²,5 Quartos,,7 Vagas,aluguel
"SHIS QL 12 Conjunto 9, LAGO SUL, BRASILIA",,Aluguel Casa 3600 m²,60.000,3600 m²,25 Quartos,,60 Vagas,aluguel
"SHIN QI 5, LAGO NORTE, BRASILIA",,Aluguel Casa 750 m²,21.000,750 m²,5 Quartos,,4 Vagas,aluguel
"SQS 103 Bloco A, ASA SUL, BRASILIA",,Aluguel Apartamento 149 m²,5.600,149 m²,2 Quartos,,1 Vaga,aluguel
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",,Aluguel Sala 825 m²,37.400,825 m²,,,15 Vagas,aluguel
"Trecho 1 Lote C , SETOR INDUSTRIAL, GUARA",,Aluguel Apartamento 73 m²,5.500,73 m²,2 Quartos,,2 Vagas,aluguel
"SHIS QI 09 11 Bloco F, LAGO SUL, BRASILIA",,Aluguel Casa 530 m²,25.000,530 m²,5 Quartos,,3 Vagas,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 48 m²,4.400,48 m²,1 Quarto,,1 Vaga,aluguel
"SIG Quadra 1, SIG, BRASILIA",,Aluguel Sala 75 m²,5.000,75 m²,,,3 Vagas,aluguel
"SQSW 100 Bloco G, SUDOESTE, BRASILIA",,Aluguel Apartamento 197 m²,11.000,197 m²,3 Quartos,,2 Vagas,aluguel
"SAUS Quadra 03 Bloco C LoteS 2/3, ASA SUL, BRASILIA",,Aluguel Sala 180 m²,7.500,180 m²,,,4 Vagas,aluguel
"SCRN 710/711 Bloco E, ASA NORTE, BRASILIA",,Aluguel Loja 320 m²,8.000,320 m²,,,,aluguel
"SCEN Trecho 1, ASA NORTE, BRASILIA",,Aluguel Apartamento 136 m²,12.500,136 m²,3 Quartos,,3 Vagas,aluguel
"QMSW 6, SUDOESTE, BRASILIA",,Aluguel Kitnet 35 m²,1.800,35 m²,1 Quarto,,1 Vaga,aluguel
"SHIN QI 12 Conjunto 2, LAGO NORTE, BRASILIA",,Aluguel Casa 600 m²,13.000,600 m²,4 Quartos,,4 Vagas,aluguel
"SRTVS Conjunto L Lote 38, ASA SUL, BRASILIA",,Aluguel Loja 100 m²,3.500,100 m²,,,,aluguel
"Área Especial 4, GUARA II, GUARA",,Aluguel Loja 60 m²,5.300,60 m²,,,,aluguel
"Rua 4, VILA PLANALTO, BRASILIA",,Aluguel Apartamento 35 m²,2.500,35 m²,1 Quarto,,,aluguel
"SHIS QI 3, LAGO SUL, BRASILIA",,Aluguel Casa 256 m²,13.500,256 m²,3 Quartos,,,aluguel
"SMPW Quadra 15, PARK WAY, BRASILIA",,Aluguel Casa Condominio 530 m²,28.000,530 m²,5 Quartos,,2 Vagas,aluguel
"SHN Quadra 1, ASA NORTE, BRASILIA",,Aluguel Sala 28 m²,850,28 m²,,,,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,Aluguel Apartamento 45 m²,3.500,45 m²,2 Quartos,,1 Vaga,aluguel
"SIA Trecho 3, SIA, SETOR INDUSTRIAL",,Aluguel Prédio 3968 m²,130.000,3968 m²,,,,aluguel
"Área Especial 02 Módulo A, GUARA II, GUARA",,Aluguel Apartamento 86 m²,3.800,86 m²,3 Quartos,,2 Vagas,aluguel
"SHLN Bloco G Lote 9, ASA NORTE, BRASILIA",,Aluguel Sala 330 m²,39.000,330 m²,,,11 Vagas,aluguel
"Rua 4 Chacará 6A, VICENTE PIRES, VICENTE PIRES",,Aluguel Casa Condominio 150 m²,5.000,150 m²,3 Quartos,,2 Vagas,aluguel
"Rua MANACA, NORTE, AGUAS CLARAS",,Aluguel Apartamento 59 m²,3.500,59 m²,2 Quartos,,1 Vaga,aluguel
"QSF 1 Área Especial 6/7/8, TAGUATINGA SUL, TAGUATINGA",,Aluguel Loja 58 m²,4.200,58 m²,,,1 Vaga,aluguel
"QC 6, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Apartamento 48 m²,1.800,48 m²,2 Quartos,,1 Vaga,aluguel
"SBS Quadra 02 Bloco S Lote 01, ASA SUL, BRASILIA",,Aluguel Sala 30 m²,600,30 m²,,,1 Vaga,aluguel
"Quadra 210, SUL, AGUAS CLARAS",,Aluguel Apartamento 80 m²,2.800,80 m²,3 Quartos,,2 Vagas,aluguel
"SCN Quadra 04 Bloco B, ASA NORTE, BRASILIA",,Aluguel Loja 358 m²,8.000,358 m²,,,,aluguel
"SQS 308 Bloco G, ASA SUL, BRASILIA",,Aluguel Apartamento 157 m²,16.000,157 m²,3 Quartos,,1 Vaga,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,Aluguel Apartamento 64 m²,4.000,64 m²,2 Quartos,,2 Vagas,aluguel
"Condomínio Prive Morada Sul Etapa C, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 220 m²,5.500,220 m²,3 Quartos,,3 Vagas,aluguel
"SHIN QI 10 Conjunto 10, LAGO NORTE, BRASILIA",,Aluguel Casa 485 m²,13.000,485 m²,3 Quartos,,6 Vagas,aluguel
"Quadra 2 Conjunto D 15 Bl A, SOBRADINHO, SOBRADINHO",,Aluguel Apartamento 75 m²,2.200,75 m²,2 Quartos,,1 Vaga,aluguel
"Rua 37, NORTE, AGUAS CLARAS",,Aluguel Apartamento 33 m²,2.290,33 m²,1 Quarto,,,aluguel
"SQNW 307 Bloco A, NOROESTE, BRASILIA",,Aluguel Apartamento 100 m²,8.000,100 m²,2 Quartos,,2 Vagas,aluguel
"QMSW 4, SUDOESTE, BRASILIA",,Aluguel Kitnet 30 m²,2.700,30 m²,1 Quarto,,1 Vaga,aluguel
"SHIS QL 8, LAGO SUL, BRASILIA",,Aluguel Casa 500 m²,17.000,500 m²,4 Quartos,,4 Vagas,aluguel
"SHIS QL 8 Conjunto 4, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 900 m²,39.000,900 m²,4 Quartos,,4 Vagas,aluguel
"Rua 34, NORTE, AGUAS CLARAS",,Aluguel Sala 78 m²,2.300,78 m²,,,,aluguel
"SBS Quadra 02 Bloco A Lote 19, ASA SUL, BRASILIA",,Aluguel Sala 36 m²,900,36 m²,,,,aluguel
"QRO A Bloco B, CANDANGOLANDIA, CANDANGOLANDIA",,Aluguel Apartamento 60 m²,1.200,60 m²,2 Quartos,,,aluguel
"SQSW 300 Bloco C, SUDOESTE, BRASILIA",,Aluguel Apartamento 119 m²,8.500,119 m²,3 Quartos,,2 Vagas,aluguel
"CLN 313 Bloco E, ASA NORTE, BRASILIA",,Aluguel Kitnet 32 m²,1.200,32 m²,1 Quarto,,,aluguel
"SHA Conjunto 1 Chacará 50, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Loja 50 m²,1.300,50 m²,,,,aluguel
"SCIA Quadra 8 Conjunto 15, SCIA, SETOR INDUSTRIAL",,Aluguel Galpão 413 m²,15.000,413 m²,,,,aluguel
"CLS 216 Bloco D, ASA SUL, BRASILIA",,Aluguel Loja 340 m²,16.000,340 m²,,,,aluguel
"Quadra 12 Conjunto D, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 273 m²,7.200,273 m²,3 Quartos,,4 Vagas,aluguel
"Condomínio Solar da Serra, JARDIM BOTANICO, BRASILIA",,Aluguel Casa 185 m²,4.500,185 m²,2 Quartos,,1 Vaga,aluguel
"CNG 8, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Loja 50 m²,2.000,50 m²,,,,aluguel
"SHIS QI 27, LAGO SUL, BRASILIA",,Aluguel Casa 650 m²,17.000,650 m²,5 Quartos,,4 Vagas,aluguel
"Avenida das Araucárias, SUL, AGUAS CLARAS",,Aluguel Apartamento 37 m²,1.600,37 m²,1 Quarto,,1 Vaga,aluguel
"Avenida das Castanheiras, NORTE, AGUAS CLARAS",,Aluguel Loja 140 m²,11.000,140 m²,,,,aluguel
"SHIS QI 11 Conjunto 10, LAGO SUL, BRASILIA",,Aluguel Casa 850 m²,45.000,850 m²,4 Quartos,,23 Vagas,aluguel
"SQS 214, ASA SUL, BRASILIA",,Aluguel Apartamento 112 m²,5.400,112 m²,3 Quartos,,1 Vaga,aluguel
"QMSW 5 Lote 3 Bloco E, SUDOESTE, BRASILIA",,Aluguel Kitnet 25 m²,1.550,25 m²,1 Quarto,,1 Vaga,aluguel
"SMDB Conjunto 16, LAGO SUL, BRASILIA",,Aluguel Casa Condominio 470 m²,23.000,470 m²,4 Quartos,,6 Vagas,aluguel
"RODOVIA BR 0020 KM 12,5, ALTO DA BOA VISTA, SOBRADINHO",,Aluguel Casa 280 m²,4.000,280 m²,4 Quartos,,3 Vagas,aluguel
"SEPN 516 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 528 m²,30.000,528 m²,,,7 Vagas,aluguel
"SQSW 300, SUDOESTE, BRASILIA",,Aluguel Apartamento 288 m²,23.000,288 m²,3 Quartos,,3 Vagas,aluguel
"SHN Quadra 1, ASA NORTE, BRASILIA",,Aluguel Sala 360 m²,32.999,360 m²,,,11 Vagas,aluguel
"SAUS Quadra 05 Bloco N Lote 02, ASA SUL, BRASILIA",,Aluguel Sala 25 m²,750,25 m²,,,,aluguel
"SQS 211 Bloco D, ASA SUL, BRASILIA",,Aluguel Apartamento 169 m²,6.000,169 m²,4 Quartos,,1 Vaga,aluguel
"SQNW 306 Bloco G, NOROESTE, BRASILIA",,Aluguel Apartamento 278 m²,18.000,278 m²,4 Quartos,,4 Vagas,aluguel
"Condomínio Solar de Brasília, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 650 m²,13.000,650 m²,5 Quartos,,6 Vagas,aluguel
"SQN 411 Bloco N, ASA NORTE, BRASILIA",,Aluguel Apartamento 95 m²,3.900,95 m²,3 Quartos,,,aluguel
"QS 3, AREAL, AGUAS CLARAS",,Aluguel Sala 86 m²,5.000,86 m²,,,2 Vagas,aluguel
"ADE Conjunto 09, SAMAMBAIA SUL, SAMAMBAIA",,Aluguel Sala 100 m²,2.700,100 m²,,,,aluguel
"CLN 309 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 18 m²,700,18 m²,,,,aluguel
"Rua 36, SUL, AGUAS CLARAS",,Aluguel Loja 740 m²,18.000,740 m²,,,,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Hotel Flat 41 m²,3.000,41 m²,1 Quarto,,1 Vaga,aluguel
"SCN Quadra 01 Bloco F, ASA NORTE, BRASILIA",,Aluguel Sala 39 m²,1.200,39 m²,,,1 Vaga,aluguel
"SHIS QI 25 Conjunto 4, LAGO SUL, BRASILIA",,Aluguel Casa 429 m²,20.500,429 m²,5 Quartos,,4 Vagas,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,Aluguel Apartamento 52 m²,6.800,52 m²,1 Quarto,,1 Vaga,aluguel
"STN, ASA NORTE, BRASILIA",,Aluguel Sala 30 m²,1.550,30 m²,,,,aluguel
"CRS 510, ASA SUL, BRASILIA",,Aluguel Prédio 100 m²,3.200,100 m²,,,,aluguel
"CLN 111 Bloco C, ASA NORTE, BRASILIA",,Aluguel Sala 59 m²,1.790,59 m²,,,,aluguel
"SRTVS, ASA SUL, BRASILIA",,Aluguel Sala 30 m²,1.000,30 m²,,,,aluguel
"QN 1 Conjunto 15, RIACHO FUNDO, RIACHO FUNDO",,Aluguel Prédio 475 m²,11.000,475 m²,,,,aluguel
"SQSW 305, SUDOESTE, BRASILIA",,Aluguel Apartamento 82 m²,5.000,82 m²,2 Quartos,,1 Vaga,aluguel
"SCN Quadra 01 Bloco C, ASA NORTE, BRASILIA",,Aluguel Sala 75 m²,4.975,75 m²,,,2 Vagas,aluguel
"SMPW Quadra 1, PARK WAY, BRASILIA",,Aluguel Casa Condominio 568 m²,20.000,568 m²,5 Quartos,,3 Vagas,aluguel
"QND 49, TAGUATINGA NORTE, TAGUATINGA",,Aluguel Lote/Terreno/Área 408 m²,10.000,408 m²,,,,aluguel
"Gleba 03 Nucleo Rural Alexandre Gusmao, ZONA RURAL, CEILANDIA",,Aluguel Galpão 800 m²,12.500,800 m²,,,,aluguel
"Condomínio Ecológico Parque do Mirante, JARDIM BOTANICO, BRASILIA",,Aluguel Casa Condominio 200 m²,5.000,200 m²,3 Quartos,,2 Vagas,aluguel
"CLSW 105 Bloco C, SUDOESTE, BRASILIA",,Aluguel Loja 72 m²,9.900,72 m²,,,,aluguel
"SCN Quadra 1 Bloco E, ASA NORTE, BRASILIA",,Aluguel Sala 27 m²,1.590,27 m²,,,1 Vaga,aluguel
"SAAN Quadra 3, SAAN, SETOR INDUSTRIAL",,Aluguel Galpão 900 m²,30.000,900 m²,,,10 Vagas,aluguel
"QE 5, GUARA I, GUARA",,Aluguel Apartamento 39 m²,2.300,39 m²,1 Quarto,,1 Vaga,aluguel
"SHN Quadra 2 Bloco J, ASA NORTE, BRASILIA",,Aluguel Hotel Flat 30 m²,1.600,30 m²,,,,aluguel
"SHIS QI 23 Bloco B, LAGO SUL, BRASILIA",,Aluguel Loja 58 m²,3.800,58 m²,,,,aluguel
"SHIS QI 15 Conjunto 10, LAGO SUL, BRASILIA",,Aluguel Casa 600 m²,17.000,600 m²,5 Quartos,,,aluguel
"Rua 25, SUL, AGUAS CLARAS",,Aluguel Apartamento 65 m²,2.400,65 m²,2 Quartos,,1 Vaga,aluguel
"QE 7 Bloco H, GUARA I, GUARA",,Aluguel Loja 45 m²,6.280,45 m²,,,,aluguel
"Rua 12 Chacará 129A Conjunto B, VICENTE PIRES, VICENTE PIRES",,Aluguel Casa Condominio 600 m²,15.000,600 m²,5 Quartos,,5 Vagas,aluguel
"SGAN 607 Módulo A, ASA NORTE, BRASILIA",,Aluguel Sala 30 m²,1.400,30 m²,,,1 Vaga,aluguel
"QE 30 Conjunto H, GUARA II, GUARA",,Aluguel Prédio 180 m²,6.800,180 m²,,,,aluguel
"Rua 03, JARDIM CEU AZUL, VALPARAISO DE GOIAS",,Aluguel Apartamento 72 m²,800,72 m²,3 Quartos,,1 Vaga,aluguel
"SCN Quadra 1 Bloco D, ASA NORTE, BRASILIA",,Aluguel Sala 255 m²,24.256,255 m²,,,8 Vagas,aluguel
"COLONIA AGRICOLA ARNIQUEIRAS, ARNIQUEIRA, AGUAS CLARAS",,Aluguel Casa Condominio 280 m²,10.000,280 m²,3 Quartos,,4 Vagas,aluguel
"QC 14, JARDINS MANGUEIRAL, BRASILIA",,Aluguel Apartamento 48 m²,2.000,48 m²,2 Quartos,,1 Vaga,aluguel
