description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,1600.0,28.0,1.0,,1.0,aluguel
"SHTN Trecho 1, ASA NORTE, BRASILIA",,apartamento,6080.0,57.0,1.0,,,aluguel
"SQS 211, ASA SUL, BRASILIA",,apartamento,14800.0,149.0,3.0,,1.0,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,5500.0,74.0,2.0,,2.0,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,apartamento,5000.0,26.0,1.0,,1.0,aluguel
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,2700.0,50.0,1.0,,1.0,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4500.0,42.0,1.0,,1.0,aluguel
"Rua 25, NORTE, AGUAS CLARAS",,apartamento,5600.0,140.0,3.0,,1.0,aluguel
"SQS 312 Bloco J, ASA SUL, BRASILIA",,apartamento,15500.0,320.0,4.0,,2.0,aluguel
"Rua 7, NORTE, AGUAS CLARAS",,apartamento,1999.0,41.0,1.0,,257.0,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4700.0,52.0,1.0,,1.0,aluguel
"Rua 28, NORTE, AGUAS CLARAS",,apartamento,3600.0,69.0,2.0,,1.0,aluguel
"CCSW 1, SUDOESTE, BRASILIA",,apartamento,4900.0,26.0,1.0,,1.0,aluguel
"Quadra 301 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2150.0,50.0,2.0,,1.0,aluguel
"Rodovia DF 150, GRANDE COLORADO, SOBRADINHO",,apartamento,1400.0,50.0,2.0,,1.0,aluguel
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,apartamento,3014.0,50.0,1.0,,1.0,aluguel
"Rua 14, NORTE, AGUAS CLARAS",,apartamento,7000.0,178.0,4.0,,3.0,aluguel
"SQS 405 Bloco O, ASA SUL, BRASILIA",,apartamento,3700.0,80.0,3.0,,,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4000.0,48.0,1.0,,1.0,aluguel
"Rua DAS CARNAUBAS, NORTE, AGUAS CLARAS",,apartamento,1500.0,28.0,1.0,,1.0,aluguel
"SQNW 108 Bloco A, NOROESTE, BRASILIA",,apartamento,10900.0,163.0,4.0,,2.0,aluguel
"SCLRN 703 Bloco H, ASA NORTE, BRASILIA",,apartamento,4900.0,230.0,1.0,,1.0,aluguel
"Trecho 1 Lote C , SETOR INDUSTRIAL, GUARA",,apartamento,6000.0,104.0,3.0,,2.0,aluguel
"QSF 1, TAGUATINGA SUL, TAGUATINGA",,apartamento,2500.0,61.0,2.0,,1.0,aluguel
"QN 5 Conjunto 4, RIACHO FUNDO, RIACHO FUNDO",,apartamento,1400.0,65.0,2.0,,,aluguel
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,2700.0,69.0,2.0,,1.0,aluguel
"Alameda das Acácias Quadra 107, NORTE, AGUAS CLARAS",,apartamento,3800.0,107.0,3.0,,2.0,aluguel
"Rua 37, SUL, AGUAS CLARAS",,apartamento,4000.0,55.0,1.0,,1.0,aluguel
