description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type
"SHCES Quadra 105 Bloco H, NOVO, CRUZEIRO",,apartamento,2300.0,51.0,1.0,,,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,2500.0,28.0,1.0,,1.0,aluguel
"QR 418 Conjunto P, SANTA MARIA, SANTA MARIA",,apartamento,900.0,45.0,2.0,,,aluguel
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,1.0,aluguel
"Alameda Gravatá Quadra 301, NORTE, AGUAS CLARAS",,apartamento,2200.0,58.0,2.0,,1.0,aluguel
"SQNW 103 Bloco I, NOROESTE, BRASILIA",,apartamento,11000.0,247.0,3.0,,3.0,aluguel
"QN 122 Conjunto 15, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1400.0,48.0,2.0,,1.0,aluguel
"SGAN 914, ASA NORTE, BRASILIA",,kitnet,1550.0,30.0,1.0,,1.0,aluguel
"SCLRN 714 Bloco H, ASA NORTE, BRASILIA",,apartamento,1200.0,32.0,1.0,,,aluguel
"SCRN 712/713 Bloco B, ASA NORTE, BRASILIA",,kitnet,1800.0,39.0,1.0,,,aluguel
"SQS 303 Bloco F, ASA SUL, BRASILIA",,apartamento,7800.0,170.0,4.0,,1.0,aluguel
"SQSW 500, SUDOESTE, BRASILIA",,apartamento,20000.0,239.0,4.0,,4.0,aluguel
"STN, ASA NORTE, BRASILIA",,kitnet,1750.0,26.0,1.0,,1.0,aluguel
"SQSW 504 Bloco G, SUDOESTE, BRASILIA",,apartamento,6700.0,130.0,3.0,,2.0,aluguel
"SQS 415 Bloco L, ASA SUL, BRASILIA",,apartamento,3500.0,60.0,2.0,,,aluguel
"SQNW 307, NOROESTE, BRASILIA",,apartamento,5500.0,74.0,2.0,,2.0,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,5800.0,84.0,2.0,,2.0,aluguel
"SQS 206 Bloco H, ASA SUL, BRASILIA",,apartamento,6000.0,150.0,3.0,,1.0,aluguel
"QMSW 4 Lote 3, SUDOESTE, BRASILIA",,kitnet,1900.0,29.0,1.0,,1.0,aluguel
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,apartamento,2781.0,46.0,1.0,,1.0,aluguel
"Quadra 502 Conjunto 2, ITAPOA PARQUE, PARANOA",,apartamento,1000.0,50.0,2.0,,1.0,aluguel
"QS 410 Conjunto G, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1300.0,40.0,2.0,,,aluguel
"SCRN 712/713 Bloco B, ASA NORTE, BRASILIA",,kitnet,1800.0,43.0,1.0,,,aluguel
"QS 111 Conjunto I, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,450.0,40.0,1.0,,,aluguel
"SQN 310 Bloco A, ASA NORTE, BRASILIA",,apartamento,3100.0,60.0,1.0,,1.0,aluguel
"Rua 400 Lote 402, SETOR MEIRELES, SANTA MARIA",,apartamento,1150.0,45.0,2.0,,1.0,aluguel
"SQS 312 Bloco D, ASA SUL, BRASILIA",,apartamento,9000.0,173.0,3.0,,1.0,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,8500.0,149.0,2.0,,2.0,aluguel
"Rua 20, GUARA II, GUARA",,apartamento,1200.0,45.0,2.0,,,aluguel
"SQNW 107 Bloco I, NOROESTE, BRASILIA",,apartamento,8300.0,123.0,3.0,,3.0,aluguel
"QC 6, JARDINS MANGUEIRAL, BRASILIA",,apartamento,1800.0,50.0,2.0,,1.0,aluguel
"Rua 20, GUARA II, GUARA",,apartamento,1250.0,45.0,2.0,,,aluguel
"SQN 212 Bloco B, ASA NORTE, BRASILIA",,apartamento,7200.0,158.0,2.0,,2.0,aluguel
"SQNW 302 Bloco A, NOROESTE, BRASILIA",,apartamento,5200.0,71.0,2.0,,,aluguel
"Quadra 101 Área Especial S/N, SETOR RESIDENCIAL OESTE, SAO SEBASTIAO",,apartamento,1000.0,35.0,1.0,,,aluguel
"Quadra 205, SUL, AGUAS CLARAS",,apartamento,7000.0,243.0,4.0,,3.0,aluguel
"Quadra 502 Conjunto 1, ITAPOA PARQUE, PARANOA",,apartamento,1100.0,46.0,2.0,,,aluguel
"QS 409 Conjunto E, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1500.0,50.0,2.0,,1.0,aluguel
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel
"SQN 215, ASA NORTE, BRASILIA",,apartamento,12000.0,162.0,4.0,,4.0,aluguel
"Rua 20, SUL, AGUAS CLARAS",,apartamento,1600.0,37.0,1.0,,,aluguel
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,2400.0,30.0,1.0,,,aluguel
"QI 33 Lote 5, GUARA II, GUARA",,apartamento,4000.0,89.0,3.0,,1.0,aluguel
"Rua 20, GUARA II, GUARA",,apartamento,1200.0,45.0,2.0,,,aluguel
"SCRN 712/713 Bloco B, ASA NORTE, BRASILIA",,kitnet,1800.0,39.0,1.0,,,aluguel
"QS 5 Rua 400, AREAL, AGUAS CLARAS",,apartamento,3200.0,72.0,3.0,,2.0,aluguel
"SQN 213 Bloco F, ASA NORTE, BRASILIA",,apartamento,6800.0,110.0,3.0,,1.0,aluguel
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,2500.0,26.0,1.0,,1.0,aluguel
"Rua 19, NORTE, AGUAS CLARAS",,apartamento,3500.0,62.0,2.0,,1.0,aluguel
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel
"Rua 18, NORTE, AGUAS CLARAS",,apartamento,2450.0,58.0,2.0,,1.0,aluguel
"Rua 24, NORTE, AGUAS CLARAS",,apartamento,1600.0,33.0,1.0,,1.0,aluguel
"SQS 302 Bloco F, ASA SUL, BRASILIA",,apartamento,9900.0,136.0,3.0,,1.0,aluguel
"Avenida Pau Brasil, NORTE, AGUAS CLARAS",,apartamento,4200.0,102.0,3.0,,2.0,aluguel
"CSB 03 Lote 03, TAGUATINGA SUL, TAGUATINGA",,apartamento,1700.0,96.0,2.0,,1.0,aluguel
"QS 423 Conjunto M, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1000.0,48.0,1.0,,,aluguel
"RODOVIA DF 0425 KM 1,5, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",,apartamento,1200.0,60.0,2.0,,,aluguel
"SQNW 306, NOROESTE, BRASILIA",,apartamento,6000.0,75.0,2.0,,2.0,aluguel
"SHIGS 714 Bloco C, ASA SUL, BRASILIA",,apartamento,6200.0,90.0,2.0,,,aluguel
"ADE Conjunto 12, ADE, AGUAS CLARAS",,apartamento,700.0,40.0,1.0,,,aluguel
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,1350.0,28.0,1.0,,1.0,aluguel
"Rua 18, SUL, AGUAS CLARAS",,apartamento,3950.0,199.0,4.0,,2.0,aluguel
"QI 33, GUARA II, GUARA",,apartamento,4100.0,90.0,3.0,,1.0,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,4700.0,93.0,3.0,,2.0,aluguel
"Rua 31, NORTE, AGUAS CLARAS",,apartamento,1450.0,35.0,1.0,,1.0,aluguel
"CSB 7, TAGUATINGA SUL, TAGUATINGA",,apartamento,1200.0,45.0,1.0,,1.0,aluguel
"SQN 203 Bloco H, ASA NORTE, BRASILIA",,apartamento,4000.0,110.0,3.0,,1.0,aluguel
"Quadra 7, SOBRADINHO, SOBRADINHO",,apartamento,1900.0,117.0,3.0,,2.0,aluguel
"CNA 4, TAGUATINGA NORTE, TAGUATINGA",,kitnet,650.0,27.0,1.0,,,aluguel
"CRS 502, ASA SUL, BRASILIA",,apartamento,1550.0,31.0,1.0,,,aluguel
"QMSW 5 Lote 8, SUDOESTE, BRASILIA",,apartamento,2600.0,32.0,1.0,,1.0,aluguel
"QC 11, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2000.0,48.0,2.0,,1.0,aluguel
"Quadra 201, SUL, AGUAS CLARAS",,apartamento,2450.0,74.0,2.0,,1.0,aluguel
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1800.0,50.0,2.0,,1.0,aluguel
"SQNW 302 Bloco D, NOROESTE, BRASILIA",,apartamento,7500.0,140.0,2.0,,6.0,aluguel
"CLSW 300A, SUDOESTE, BRASILIA",,kitnet,2450.0,37.0,1.0,,1.0,aluguel
"SQSW 102 Bloco D, SUDOESTE, BRASILIA",,apartamento,8500.0,140.0,3.0,,2.0,aluguel
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,apartamento,13000.0,136.0,4.0,,,aluguel
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,1600.0,60.0,1.0,,1.0,aluguel
"SQS 410 Bloco D, ASA SUL, BRASILIA",,apartamento,2000.0,40.0,1.0,,,aluguel
"St Area Especiais Setor C Norte, TAGUATINGA NORTE, TAGUATINGA",,apartamento,2800.0,85.0,3.0,,1.0,aluguel
"Rua 3C Chacará 27C, VICENTE PIRES, VICENTE PIRES",,apartamento,2300.0,120.0,2.0,,,aluguel
"COLONIA AGRICOLA SAMAMBAIA, COLONIA AGRICOLA SAMAMBAIA, VICENTE PIRES",,kitnet,1250.0,38.0,1.0,,,aluguel
"SQN 402 Bloco I, ASA NORTE, BRASILIA",,apartamento,3800.0,60.0,2.0,,1.0,aluguel
"CNB 12 Lote 17/18, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1800.0,68.0,3.0,,1.0,aluguel
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,2700.0,50.0,1.0,,1.0,aluguel
"QI 11 Bloco O, GUARA I, GUARA",,apartamento,2200.0,62.0,2.0,,2.0,aluguel
"Terceira Avenida Blocos 380A/510B, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,apartamento,1600.0,48.0,2.0,,,aluguel
"CCSW 4, SUDOESTE, BRASILIA",,apartamento,5200.0,107.0,3.0,,1.0,aluguel
"Rua 31, SUL, AGUAS CLARAS",,apartamento,3200.0,54.0,2.0,,1.0,aluguel
"QMSW 5 Lote 4 Bloco C, SUDOESTE, BRASILIA",,kitnet,2300.0,28.0,1.0,,1.0,aluguel
"SQSW 300 Bloco C, SUDOESTE, BRASILIA",,apartamento,8500.0,119.0,3.0,,2.0,aluguel
"Quadra 301 Conjunto 2, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1250.0,34.0,1.0,,1.0,aluguel
"Avenida Jacarandá, SUL, AGUAS CLARAS",,apartamento,2490.0,50.0,1.0,,1.0,aluguel
"CA 02, LAGO NORTE, BRASILIA",,apartamento,1250.0,28.0,1.0,,,aluguel
"QN 401 Conjunto E, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1200.0,30.0,1.0,,1.0,aluguel
"Rua 5, NORTE, AGUAS CLARAS",,apartamento,1750.0,33.0,1.0,,1.0,aluguel
"Quadra R RP4, LOTEAMENTO RAQUEL PIMENTEL, LUZIANIA",,apartamento,650.0,46.0,2.0,,1.0,aluguel
"SQS 109 Bloco A, ASA SUL, BRASILIA",,apartamento,12500.0,171.0,4.0,,1.0,aluguel
"Rua 20, SUL, AGUAS CLARAS",,apartamento,3400.0,121.0,3.0,,1.0,aluguel
"QNM 21 Conjunto G, CEILANDIA SUL, CEILANDIA",,kitnet,800.0,35.0,1.0,,,aluguel
"SQS 407, ASA SUL, BRASILIA",,apartamento,2500.0,65.0,2.0,,,aluguel
"Rua 9, NORTE, AGUAS CLARAS",,apartamento,3800.0,92.0,3.0,,1.0,aluguel
"Avenida São Sebastião, CENTRO, SAO SEBASTIAO",,apartamento,1600.0,58.0,2.0,,,aluguel
"Quadra 56, SETOR CENTRAL, GAMA",,apartamento,1700.0,62.0,2.0,,1.0,aluguel
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,2000.0,32.0,1.0,,1.0,aluguel
"Rua 5, NORTE, AGUAS CLARAS",,apartamento,3400.0,40.0,1.0,,2.0,aluguel
"SMS 47, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,apartamento,1450.0,60.0,2.0,,1.0,aluguel
"Rua 25, SUL, AGUAS CLARAS",,apartamento,3200.0,69.0,2.0,,1.0,aluguel
"SGCV, PARK SUL, BRASILIA",,kitnet,1600.0,24.0,1.0,,1.0,aluguel
"QNM 17 Conjunto C, CEILANDIA SUL, CEILANDIA",,apartamento,1120.0,33.0,1.0,,,aluguel
"CLN 410 Bloco D, ASA NORTE, BRASILIA",,apartamento,1490.0,30.0,1.0,,,aluguel
"CLN 5 Bloco A, RIACHO FUNDO, RIACHO FUNDO",,apartamento,1100.0,30.0,1.0,,1.0,aluguel
"QN 122 Conjunto 11, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,900.0,30.0,1.0,,,aluguel
"QI 33, GUARA II, GUARA",,apartamento,9500.0,233.0,3.0,,4.0,aluguel
"QI 33, GUARA II, GUARA",,apartamento,9800.0,233.0,3.0,,3.0,aluguel
"SGCV, PARK SUL, BRASILIA",,apartamento,4050.0,60.0,1.0,,2.0,aluguel
"CLNW 2/3 Lote H, NOROESTE, BRASILIA",,apartamento,3300.0,33.0,1.0,,1.0,aluguel
"QMSW 6 Lote 3 Bloco 3C, SUDOESTE, BRASILIA",,kitnet,2300.0,32.0,1.0,,1.0,aluguel
"Quadra 208, SUL, AGUAS CLARAS",,kitnet,1100.0,32.0,1.0,,1.0,aluguel
"QMS 33, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,apartamento,1760.0,50.0,2.0,,1.0,aluguel
"Rua BURITI, NORTE, AGUAS CLARAS",,apartamento,3500.0,87.0,3.0,,1.0,aluguel
"Quadra 2, SETOR SUL, GAMA",,apartamento,950.0,75.0,2.0,,,aluguel
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,1800.0,35.0,1.0,,,aluguel
"Rua DAS FIGUEIRAS, NORTE, AGUAS CLARAS",,apartamento,3590.0,80.0,2.0,,1.0,aluguel
"QNN 27 Módulo C, CEILANDIA NORTE, CEILANDIA",,apartamento,2000.0,70.0,3.0,,1.0,aluguel
"Rua 19, SUL, AGUAS CLARAS",,apartamento,3400.0,120.0,2.0,,2.0,aluguel
"Rua 18, NORTE, AGUAS CLARAS",,apartamento,2500.0,38.0,1.0,,,aluguel
"SQN 405 Bloco A, ASA NORTE, BRASILIA",,apartamento,4950.0,78.0,3.0,,,aluguel
"Rua DAS PAINEIRAS, SUL, AGUAS CLARAS",,apartamento,4700.0,130.0,3.0,,1.0,aluguel
"Quadra 9 Conjunto A, VARJAO, VARJAO",,apartamento,1206.0,50.0,2.0,,,aluguel
"SEPS 713/913, ASA SUL, BRASILIA",,kitnet,2000.0,26.0,1.0,,,aluguel
"SQS 404, ASA SUL, BRASILIA",,apartamento,3800.0,52.0,1.0,,2.0,aluguel
"QRSW 7 Bloco B 10, SUDOESTE, BRASILIA",,apartamento,2400.0,56.0,2.0,,,aluguel
"SEPS 713/913, ASA SUL, BRASILIA",,kitnet,1500.0,29.0,1.0,,1.0,aluguel
"Quadra C 12, TAGUATINGA CENTRO, TAGUATINGA",,apartamento,700.0,40.0,1.0,,,aluguel
"QMSW 6 Lote 1, SUDOESTE, BRASILIA",,apartamento,2900.0,61.0,1.0,,1.0,aluguel
"Rua 28, NORTE, AGUAS CLARAS",,apartamento,3950.0,1.0,3.0,,2.0,aluguel
"SES Quadra 1, SETOR ECONOMICO DE SOBRADINHO, SOBRADINHO",,kitnet,750.0,25.0,1.0,,,aluguel
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,12000.0,70.0,1.0,,1.0,aluguel
"Avenida Buritís Quadra 404, RECANTO DAS EMAS, RECANTO DAS EMAS",,apartamento,1100.0,49.0,2.0,,,aluguel
"Rua Babaçu, SUL, AGUAS CLARAS",,apartamento,3550.0,74.0,2.0,,2.0,aluguel
"CCSW 1 Lote 1 Bloco 2, SUDOESTE, BRASILIA",,kitnet,1450.0,27.0,1.0,,,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,6000.0,84.0,2.0,,2.0,aluguel
"Rua 20, GUARA II, GUARA",,apartamento,1250.0,45.0,2.0,,,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,2100.0,40.0,1.0,,1.0,aluguel
"RODOVIA DF 0150 KM 05, SETOR HABITACIONAL CONTAGEM, SOBRADINHO",,apartamento,1500.0,35.0,2.0,,,aluguel
"QC 5 Conjunto 6, RIACHO FUNDO II, RIACHO FUNDO",,apartamento,1000.0,50.0,2.0,,1.0,aluguel
"QE 40, GUARA II, GUARA",,apartamento,1100.0,40.0,1.0,,,aluguel
"Rua 9, NORTE, AGUAS CLARAS",,apartamento,2900.0,60.0,2.0,,1.0,aluguel
"Rodovia DF 150, GRANDE COLORADO, SOBRADINHO",,apartamento,1300.0,60.0,2.0,,,aluguel
"Quadra 402, ITAPOA PARQUE, PARANOA",,apartamento,780.0,45.0,2.0,,,aluguel
"SQS 316 Bloco J, ASA SUL, BRASILIA",,apartamento,8000.0,178.0,3.0,,1.0,aluguel
"SQN 310, ASA NORTE, BRASILIA",,apartamento,12500.0,126.0,4.0,,2.0,aluguel
"QE 28 Conjunto A, GUARA II, GUARA",,apartamento,2280.0,50.0,1.0,,,aluguel
"SGCV, PARK SUL, BRASILIA",,apartamento,2500.0,26.0,1.0,,1.0,aluguel
"Avenida Parque Águas Claras Quadra 301 Área Especial s/n, NORTE, AGUAS CLARAS",,apartamento,2300.0,60.0,2.0,,,aluguel
"SHCGN 703 Bloco R, ASA NORTE, BRASILIA",,apartamento,3200.0,38.0,1.0,,1.0,aluguel
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,apartamento,1400.0,30.0,1.0,,1.0,aluguel
"CCSW 4 Lote 4 Bloco A, SUDOESTE, BRASILIA",,apartamento,3500.0,45.0,1.0,,1.0,aluguel
"SQNW 103 Bloco A, NOROESTE, BRASILIA",,apartamento,9400.0,123.0,3.0,,2.0,aluguel
"QNP 30 Conjunto X, CEILANDIA SUL, CEILANDIA",,apartamento,1500.0,50.0,2.0,,,aluguel
"QE 40, GUARA II, GUARA",,apartamento,1300.0,52.0,2.0,,,aluguel
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,2200.0,69.0,2.0,,1.0,aluguel
"QR 313 Conjunto 10, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,680.0,32.0,1.0,,,aluguel
"QR 120 Conjunto 10A, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1650.0,53.0,2.0,,2.0,aluguel
"SQNW 108 Bloco G, NOROESTE, BRASILIA",,apartamento,6000.0,70.0,2.0,,1.0,aluguel
"SQNW 307, NOROESTE, BRASILIA",,apartamento,8500.0,149.0,2.0,,2.0,aluguel
"Rua 7, NORTE, AGUAS CLARAS",,apartamento,2200.0,43.0,1.0,,1.0,aluguel
"Rua 30, SUL, AGUAS CLARAS",,apartamento,2500.0,98.0,3.0,,1.0,aluguel
"QNJ 58 Bloco B, TAGUATINGA NORTE, TAGUATINGA",,apartamento,800.0,50.0,2.0,,1.0,aluguel
"CLNW 10/11 Lote I, NOROESTE, BRASILIA",,kitnet,1800.0,32.0,1.0,,1.0,aluguel
"SQS 115 Bloco D, ASA SUL, BRASILIA",,apartamento,8000.0,146.0,3.0,,1.0,aluguel
"Rua ALECRIM, NORTE, AGUAS CLARAS",,apartamento,3100.0,93.0,3.0,,1.0,aluguel
"SOF SUL Quadra 16 Conjunto A, SOF SUL, SETOR INDUSTRIAL",,apartamento,2350.0,54.0,2.0,,1.0,aluguel
"Rua 17, SUL, AGUAS CLARAS",,apartamento,1950.0,38.0,1.0,,1.0,aluguel
"SHN Quadra 4, ASA NORTE, BRASILIA",,apartamento,350000.0,28.0,1.0,,1.0,aluguel
"QC 8, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2400.0,48.0,2.0,,1.0,aluguel
"Rua MANACA, NORTE, AGUAS CLARAS",,apartamento,2690.0,69.0,2.0,,1.0,aluguel
"Ville de Montagne, JARDIM BOTANICO, BRASILIA",,apartamento,19500.0,610.0,4.0,,2.0,aluguel
"Rua 5, NORTE, AGUAS CLARAS",,apartamento,2500.0,41.0,1.0,,1.0,aluguel
"Rua 09, JARDIM IPANEMA, VALPARAISO DE GOIAS",,apartamento,800.0,55.0,2.0,,1.0,aluguel
"Rua 28, SUL, AGUAS CLARAS",,apartamento,6750.0,190.0,4.0,,2.0,aluguel
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,apartamento,1500.0,30.0,1.0,,1.0,aluguel
"Rua 20, PARQUE ESPLANADA II, VALPARAISO DE GOIAS",,apartamento,900.0,70.0,3.0,,,aluguel
"Rua 4A Chacará 107, VICENTE PIRES, VICENTE PIRES",,apartamento,3000.0,65.0,2.0,,1.0,aluguel
"Área Especial 4 Módulo B, GUARA II, GUARA",,apartamento,1600.0,42.0,1.0,,,aluguel
"QE 3 Bloco K, GUARA I, GUARA",,apartamento,1500.0,53.0,1.0,,,aluguel
"SGAN 912, ASA NORTE, BRASILIA",,apartamento,1400.0,25.0,1.0,,1.0,aluguel
"Rua 2A, VILA SAO JOSE, SAO SEBASTIAO",,apartamento,650.0,38.0,1.0,,,aluguel
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,8500.0,120.0,3.0,,3.0,aluguel
"Rua 19, SUL, AGUAS CLARAS",,apartamento,3500.0,128.0,2.0,,1.0,aluguel
"QN 1 Conjunto 24, RIACHO FUNDO, RIACHO FUNDO",,kitnet,550.0,27.0,1.0,,,aluguel
"Quadra 301 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2000.0,54.0,2.0,,1.0,aluguel
"Quadra 201, SUL, AGUAS CLARAS",,apartamento,3300.0,90.0,3.0,,2.0,aluguel
"QRSW 8 Bloco A 13, SUDOESTE, BRASILIA",,apartamento,3000.0,60.0,2.0,,,aluguel
"Rua 20, GUARA II, GUARA",,apartamento,950.0,30.0,1.0,,,aluguel
"QNN 9 Conjunto A, CEILANDIA NORTE, CEILANDIA",,apartamento,700.0,60.0,2.0,,,aluguel
"SGAN 911, ASA NORTE, BRASILIA",,apartamento,1450.0,26.0,1.0,,1.0,aluguel
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,2500.0,34.0,1.0,,1.0,aluguel
"Avenida Monumental, SETOR MEIRELES, SANTA MARIA",,apartamento,2000.0,58.0,3.0,,1.0,aluguel
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,6000.0,84.0,2.0,,2.0,aluguel
"QMSW 5 Lote 4 Bloco B, SUDOESTE, BRASILIA",,kitnet,1750.0,32.0,1.0,,1.0,aluguel
"SQN 216 Bloco B, ASA NORTE, BRASILIA",,apartamento,3200.0,45.0,1.0,,,aluguel
"QNM 9 Conjunto D, CEILANDIA SUL, CEILANDIA",,apartamento,950.0,29.0,1.0,,,aluguel
"Área Especial 4 Módulo K, GUARA II, GUARA",,apartamento,3100.0,68.0,2.0,,,aluguel
"QN 414 Conjunto H, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1800.0,50.0,2.0,,1.0,aluguel
"Rua 36, NORTE, AGUAS CLARAS",,apartamento,1800.0,31.0,1.0,,1.0,aluguel
"Quadra 205, SUL, AGUAS CLARAS",,apartamento,2790.0,100.0,2.0,,2.0,aluguel
"SQN 215, ASA NORTE, BRASILIA",,apartamento,12000.0,162.0,4.0,,4.0,aluguel
"QI 416 Conjunto 2, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1950.0,60.0,2.0,,1.0,aluguel
"CSG 13, TAGUATINGA SUL, TAGUATINGA",,apartamento,1450.0,35.0,1.0,,1.0,aluguel
"SQN 210 Bloco B, ASA NORTE, BRASILIA",,apartamento,3600.0,62.0,1.0,,,aluguel
"Rua 28, NORTE, AGUAS CLARAS",,apartamento,5900.0,171.0,3.0,,2.0,aluguel
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,2200.0,50.0,1.0,,2.0,aluguel
"Quadra 501 Conjunto 1, ITAPOA PARQUE, PARANOA",,apartamento,850.0,45.0,2.0,,,aluguel
"Quadra 105, NORTE, AGUAS CLARAS",,apartamento,4900.0,163.0,4.0,,2.0,aluguel
"Rua 25, NORTE, AGUAS CLARAS",,apartamento,3000.0,61.0,2.0,,1.0,aluguel
"Avenida Central Blocos 1315/1425, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,apartamento,3500.0,69.0,2.0,,,aluguel
"QN 5 Conjunto 4, RIACHO FUNDO, RIACHO FUNDO",,apartamento,1400.0,65.0,2.0,,,aluguel
"SHCES Quadra 909 Bloco A, NOVO, CRUZEIRO",,apartamento,3300.0,90.0,3.0,,,aluguel
"QI 2 Bloco A, GUARA I, GUARA",,kitnet,1200.0,28.0,1.0,,,aluguel
"Rua 31, SUL, AGUAS CLARAS",,apartamento,2900.0,64.0,2.0,,1.0,aluguel
"QN 407, SAMAMBAIA NORTE, SAMAMBAIA",,kitnet,1000.0,33.0,1.0,,,aluguel
"SMS 47, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,apartamento,1200.0,46.0,2.0,,,aluguel
"Rua 3, GUARA II, GUARA",,apartamento,1000.0,40.0,1.0,,,aluguel
"SGCV Lote 10, PARK SUL, BRASILIA",,apartamento,4000.0,61.0,1.0,,2.0,aluguel
"CA 09, LAGO NORTE, BRASILIA",,kitnet,1200.0,30.0,1.0,,1.0,aluguel
"Chacará 16, ZONA RURAL, RIACHO FUNDO",,apartamento,800.0,55.0,2.0,,,aluguel
"SEPS 713/913, ASA SUL, BRASILIA",,kitnet,1300.0,25.0,1.0,,,aluguel
"SQNW 103 Bloco B, NOROESTE, BRASILIA",,apartamento,30000.0,300.0,4.0,,4.0,aluguel
"SQN 210 Bloco A, ASA NORTE, BRASILIA",,apartamento,3200.0,48.0,1.0,,1.0,aluguel
"QE 40, GUARA II, GUARA",,apartamento,2500.0,81.0,3.0,,,aluguel
"SQN 212 Bloco B, ASA NORTE, BRASILIA",,apartamento,7200.0,158.0,2.0,,2.0,aluguel
"SQS 304 Bloco G, ASA SUL, BRASILIA",,apartamento,5500.0,140.0,2.0,,,aluguel
"SGCV, PARK SUL, BRASILIA",,apartamento,4500.0,43.0,1.0,,1.0,aluguel
"QND 26, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1300.0,49.0,2.0,,1.0,aluguel
"SCRN 702/703 Bloco B, ASA NORTE, BRASILIA",,kitnet,1490.0,35.0,1.0,,,aluguel
"QNN 19 Conjunto F, CEILANDIA NORTE, CEILANDIA",,kitnet,505.0,25.0,1.0,,,aluguel
"QNB 5, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1900.0,56.0,2.0,,1.0,aluguel
"Quadra 105, NORTE, AGUAS CLARAS",,apartamento,5900.0,140.0,3.0,,3.0,aluguel
"Rua 25, SUL, AGUAS CLARAS",,apartamento,2200.0,61.0,2.0,,1.0,aluguel
"SQN 203 Bloco F, ASA NORTE, BRASILIA",,apartamento,6500.0,150.0,4.0,,1.0,aluguel
"Quadra 12, SETOR CENTRAL, GAMA",,apartamento,1720.0,90.0,3.0,,,aluguel
"SQS 310 Bloco D, ASA SUL, BRASILIA",,apartamento,2370.0,35.0,1.0,,1.0,aluguel
"Rua 25, NORTE, AGUAS CLARAS",,apartamento,2500.0,60.0,2.0,,1.0,aluguel
"QI 23 Lote 14, GUARA II, GUARA",,apartamento,3200.0,70.0,3.0,,1.0,aluguel
"SHTN, ASA NORTE, BRASILIA",,apartamento,6000.0,51.0,1.0,,1.0,aluguel
