description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"QMSW 4, SUDOESTE, BRASILIA",,kitnet,2700.0,30.0,1.0,,1.0,aluguel,-15.7919381,-47.9202154
"Avenida Contorno Área Especial 13, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,apartamento,1670.0,55.0,2.0,,,aluguel,,
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,2600.0,64.0,2.0,,1.0,aluguel,-15.8321344,-48.0104648
"AREA COMERCIAL IV, VALPARAISO II, VALPARAISO DE GOIAS",,apartamento,1500.0,63.0,3.0,,1.0,aluguel,,
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,2200.0,27.0,1.0,,,aluguel,-15.7940053,-47.9197148
"SQNW 109 Bloco F, NOROESTE, BRASILIA",,apartamento,5000.0,78.0,2.0,,1.0,aluguel,,
"CNB 11, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1450.0,55.0,2.0,,1.0,aluguel,-15.822482,-48.0615459
"qdra 6 Conjunto 6, VICENTE PIRES, VICENTE PIRES",,apartamento,1800.0,60.0,2.0,,,aluguel,,
"SQNW 108 Bloco G, NOROESTE, BRASILIA",,apartamento,5380.0,73.0,2.0,,2.0,aluguel,-15.750479,-47.9097874
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,2900.0,82.0,2.0,,1.0,aluguel,-15.8321344,-48.0104648
"SQN 109, ASA NORTE, BRASILIA",,apartamento,9000.0,110.0,3.0,,2.0,aluguel,-15.7604133,-47.8868663
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,12000.0,110.0,3.0,,2.0,aluguel,-15.7876153,-47.8435403
"SQN 109 Bloco K, ASA NORTE, BRASILIA",,apartamento,9500.0,168.0,3.0,,2.0,aluguel,-15.7596617,-47.8874357
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,13000.0,136.0,3.0,,3.0,aluguel,-15.7876153,-47.8435403
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,3890.0,104.0,3.0,,2.0,aluguel,-29.9198671,-51.0635217
"SQNW 311 Bloco C, NOROESTE, BRASILIA",,apartamento,4000.0,38.0,1.0,,1.0,aluguel,-15.7408046,-47.9141201
"Rua 19, SUL, AGUAS CLARAS",,apartamento,3500.0,75.0,2.0,,2.0,aluguel,-15.8418989,-48.0242537
"SQNW 107, NOROESTE, BRASILIA",,apartamento,4900.0,68.0,2.0,,2.0,aluguel,-15.7523535,-47.9097125
"SQNW 108, NOROESTE, BRASILIA",,apartamento,10900.0,154.0,2.0,,2.0,aluguel,-15.7503488,-47.910008
"CA 10, LAGO NORTE, BRASILIA",,apartamento,3100.0,60.0,1.0,,1.0,aluguel,-15.7342351,-47.8641578
"SCEN Trecho 1, ASA NORTE, BRASILIA",,apartamento,11500.0,100.0,3.0,,2.0,aluguel,-15.7876153,-47.8435403
"Rua 36, NORTE, AGUAS CLARAS",,apartamento,2850.0,56.0,2.0,,1.0,aluguel,-15.8356039,-48.0380838
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,2800.0,80.0,3.0,,2.0,aluguel,-29.9198671,-51.0635217
"QC 11 Rua D, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2300.0,48.0,2.0,,1.0,aluguel,-15.8919988,-47.8011114
"SHDB QL 32 , LAGO SUL, BRASILIA",,apartamento,5900.0,182.0,3.0,,,aluguel,-15.8089546,-47.801039
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,3800.0,104.0,3.0,,2.0,aluguel,-29.9198671,-51.0635217
"Avenida Sucupira, RIACHO FUNDO, RIACHO FUNDO",,kitnet,900.0,35.0,1.0,,,aluguel,-15.890833,-48.0443889
"SQS 103, ASA SUL, BRASILIA",,apartamento,5600.0,102.0,2.0,,1.0,aluguel,-15.8059174,-47.8916185
"CSB 2, TAGUATINGA SUL, TAGUATINGA",,apartamento,1400.0,62.0,2.0,,1.0,aluguel,-15.8366479,-48.0563886
"Rua 31, SUL, AGUAS CLARAS",,apartamento,2900.0,56.0,2.0,,,aluguel,-15.8388003,-48.0356277
"Quadra 8 Comércio Local 29, SOBRADINHO, SOBRADINHO",,kitnet,900.0,30.0,1.0,,1.0,aluguel,,
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3900.0,55.0,2.0,,1.0,aluguel,-15.8247211,-47.9537743
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,6500.0,100.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4400.0,48.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,2400.0,34.0,1.0,,,aluguel,-15.8400497,-48.0206766
"SQNW 304, NOROESTE, BRASILIA",,apartamento,13500.0,165.0,3.0,,3.0,aluguel,-15.7447012,-47.910477
"Conjunto Residencial 1 Cond 2 Bloco E, PARQUE DAS CACHOEIRAS, VALPARAISO DE GOIAS",,apartamento,1200.0,48.0,2.0,,1.0,aluguel,,
"Quadra 105, NORTE, AGUAS CLARAS",,apartamento,3700.0,112.0,3.0,,1.0,aluguel,-15.8330159,-48.0127396
"SGAS 905, ASA SUL, BRASILIA",,kitnet,1800.0,28.0,1.0,,1.0,aluguel,-15.8042433,-47.9016082
"Rua 37, SUL, AGUAS CLARAS",,apartamento,2800.0,45.0,1.0,,1.0,aluguel,-15.8348133,-48.0390942
"Quadra 2 Conjunto C, SETOR DE INDUSTRIAS BERNARDO SAYAO, NUCLEO BANDEIRANTE",,apartamento,1000.0,34.0,1.0,,,aluguel,,
"QMSW 6 Lote 8, SUDOESTE, BRASILIA",,kitnet,1300.0,30.0,1.0,,1.0,aluguel,-15.7939284,-47.921811
"Rua MANACA, NORTE, AGUAS CLARAS",,apartamento,3500.0,59.0,2.0,,1.0,aluguel,-15.8274516,-48.0098276
"Quadra 301 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2150.0,54.0,2.0,,,aluguel,-15.8836862,-48.088446
"SMDB Conjunto 12, LAGO SUL, BRASILIA",,kitnet,1250.0,32.0,1.0,,,aluguel,-15.85529,-47.8368773
"SEPS 712/912, ASA SUL, BRASILIA",,kitnet,1600.0,25.0,1.0,,,aluguel,-15.8170813,-47.9172328
"SQSW 104 Bloco E, SUDOESTE, BRASILIA",,apartamento,7400.0,164.0,4.0,,2.0,aluguel,-15.8049392,-47.9279162
"SEPS 713/913, ASA SUL, BRASILIA",,apartamento,2000.0,35.0,1.0,,1.0,aluguel,-15.8199601,-47.9212181
"Rua 28, SUL, AGUAS CLARAS",,apartamento,5500.0,189.0,4.0,,3.0,aluguel,-15.8376579,-48.0312149
"QSE Área Especial 16, TAGUATINGA SUL, TAGUATINGA",,kitnet,600.0,29.0,1.0,,,aluguel,,
"CRS 509 Bloco A, ASA SUL, BRASILIA",,kitnet,1800.0,25.0,1.0,,,aluguel,,
"SQNW 104, NOROESTE, BRASILIA",,apartamento,13000.0,160.0,4.0,,4.0,aluguel,-15.7447012,-47.910477
"SQS 311, ASA SUL, BRASILIA",,apartamento,10000.0,148.0,3.0,,1.0,aluguel,-15.8202126,-47.9132289
"CNA 1, TAGUATINGA NORTE, TAGUATINGA",,apartamento,2300.0,60.0,2.0,,1.0,aluguel,,
"Avenida das Araucárias, SUL, AGUAS CLARAS",,kitnet,1200.0,30.0,1.0,,1.0,aluguel,-15.8400497,-48.0206766
"SQS 413 Bloco C, ASA SUL, BRASILIA",,apartamento,5000.0,56.0,2.0,,,aluguel,,
"CLNW 8/9 Lote A, NOROESTE, BRASILIA",,apartamento,3300.0,35.0,1.0,,1.0,aluguel,,
"Rua 21, SUL, AGUAS CLARAS",,apartamento,3600.0,97.0,3.0,,1.0,aluguel,-15.8390863,-48.0259111
"CLN 7 Bloco H, RIACHO FUNDO, RIACHO FUNDO",,kitnet,900.0,33.0,1.0,,,aluguel,,
"SCRN 714/715, ASA NORTE, BRASILIA",,kitnet,1450.0,31.0,1.0,,,aluguel,-15.7517039,-47.8964484
"SCEN Trecho 1 Conjunto 36, ASA NORTE, BRASILIA",,apartamento,9900.0,94.0,3.0,,2.0,aluguel,,
"SQS 113 Bloco K, ASA SUL, BRASILIA",,apartamento,5500.0,100.0,3.0,,1.0,aluguel,,
"Área Especial 02 Módulo B, GUARA II, GUARA",,apartamento,3000.0,62.0,2.0,,1.0,aluguel,,
"QC 8, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2300.0,48.0,2.0,,1.0,aluguel,-15.8873376,-47.8144932
"Rua 31, SUL, AGUAS CLARAS",,apartamento,3200.0,53.0,2.0,,,aluguel,-15.8388003,-48.0356277
"CA 09, LAGO NORTE, BRASILIA",,apartamento,3100.0,60.0,1.0,,1.0,aluguel,-15.7219698,-47.8870161
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,6800.0,52.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"Rua 19, NORTE, AGUAS CLARAS",,apartamento,2000.0,39.0,1.0,,1.0,aluguel,-15.8418328,-48.0228719
"CCSW 4, SUDOESTE, BRASILIA",,kitnet,1850.0,30.0,1.0,,1.0,aluguel,-15.7967824,-47.9295357
"SQSW 301, SUDOESTE, BRASILIA",,apartamento,17500.0,188.0,4.0,,3.0,aluguel,-15.796302,-47.9219547
"QMSW 5 Lote 3 Bloco E, SUDOESTE, BRASILIA",,kitnet,1550.0,25.0,1.0,,1.0,aluguel,,
"SQNW 311, NOROESTE, BRASILIA",,apartamento,4350.0,84.0,1.0,,2.0,aluguel,-15.741624,-47.9131405
"Rua 4, SUL, AGUAS CLARAS",,apartamento,3850.0,101.0,3.0,,2.0,aluguel,-15.8368046,-48.0110054
"SQSW 305, SUDOESTE, BRASILIA",,apartamento,9000.0,154.0,4.0,,2.0,aluguel,-15.8055654,-47.9343892
"SQS 402 Bloco P, ASA SUL, BRASILIA",,apartamento,4500.0,53.0,1.0,,1.0,aluguel,,
"QMS 44, SETOR DE MANSOES DE SOBRADINHO, SOBRADINHO",,apartamento,1800.0,80.0,3.0,,,aluguel,-15.6258969,-47.8321293
"SQNW 110 Bloco G, NOROESTE, BRASILIA",,apartamento,10800.0,132.0,4.0,,2.0,aluguel,,
"QE 40, GUARA II, GUARA",,apartamento,800.0,45.0,1.0,,,aluguel,-15.8436431,-47.9827332
"SQNW 302 Bloco A, NOROESTE, BRASILIA",,apartamento,6150.0,70.0,2.0,,1.0,aluguel,,
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4500.0,44.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"SQN 208 Bloco D, ASA NORTE, BRASILIA",,apartamento,4950.0,85.0,2.0,,1.0,aluguel,-15.7628252,-47.8812582
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,4300.0,87.0,3.0,,1.0,aluguel,-15.8321344,-48.0104648
"Quadra 5MR1, SETOR LESTE, PLANALTINA DE GOIAS",,apartamento,800.0,67.0,2.0,,1.0,aluguel,,
"Quadra 301 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,3000.0,74.0,3.0,,1.0,aluguel,-15.8836862,-48.088446
"SQN 211, ASA NORTE, BRASILIA",,apartamento,9500.0,197.0,2.0,,2.0,aluguel,-15.7530314,-47.8848674
"QRSW 6 Bloco A 8, SUDOESTE, BRASILIA",,apartamento,4200.0,62.0,2.0,,,aluguel,,
"SQNW 310 Bloco E, NOROESTE, BRASILIA",,apartamento,5350.0,74.0,2.0,,1.0,aluguel,,
"SQNW 108 Bloco B, NOROESTE, BRASILIA",,apartamento,9900.0,125.0,3.0,,2.0,aluguel,-15.750479,-47.9097874
"CLN 313 Bloco E, ASA NORTE, BRASILIA",,kitnet,1200.0,32.0,1.0,,,aluguel,,
"SQSW 300 Bloco L, SUDOESTE, BRASILIA",,apartamento,14600.0,180.0,4.0,,2.0,aluguel,-15.7912405,-47.9182899
"SQNW 107 Bloco G, NOROESTE, BRASILIA",,apartamento,15000.0,213.0,3.0,,4.0,aluguel,,
"Rua 8, SUL, AGUAS CLARAS",,apartamento,4400.0,72.0,2.0,,1.0,aluguel,-15.8407051,-48.0264621
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4000.0,48.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"QSD 53, TAGUATINGA SUL, TAGUATINGA",,kitnet,900.0,40.0,1.0,,,aluguel,-15.8509467,-48.0432712
"CA 05, LAGO NORTE, BRASILIA",,apartamento,2390.0,42.0,1.0,,1.0,aluguel,-15.7219698,-47.8870161
"Quadra 206, SUL, AGUAS CLARAS",,apartamento,3400.0,90.0,2.0,,2.0,aluguel,-29.9198671,-51.0635217
"SQSW 100 Bloco G, SUDOESTE, BRASILIA",,apartamento,11000.0,197.0,3.0,,2.0,aluguel,-15.8049392,-47.9279162
"Trecho 1 Lote C , SETOR INDUSTRIAL, GUARA",,apartamento,5500.0,73.0,2.0,,2.0,aluguel,-15.8097339,-47.9927224
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,apartamento,1600.0,29.0,1.0,,1.0,aluguel,-15.8369691,-48.0311046
"SHTN Trecho 2 Lote 3, ASA NORTE, BRASILIA",,apartamento,2500.0,32.0,1.0,,,aluguel,-15.7858712,-47.8521756
"SQNW 107 Bloco G, NOROESTE, BRASILIA",,apartamento,14000.0,213.0,3.0,,3.0,aluguel,,
"SQN 314 Bloco B, ASA NORTE, BRASILIA",,apartamento,3450.0,63.0,2.0,,,aluguel,-15.7448682,-47.8940056
"Área Especial 4, GUARA II, GUARA",,apartamento,4200.0,91.0,3.0,,2.0,aluguel,-15.8405456,-47.9846739
"QNC 3, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1225.0,45.0,1.0,,,aluguel,-15.8302167,-48.0626412
"SQNW 107, NOROESTE, BRASILIA",,apartamento,13000.0,200.0,2.0,,2.0,aluguel,-15.7523535,-47.9097125
"QSC 10, TAGUATINGA SUL, TAGUATINGA",,kitnet,900.0,40.0,1.0,,,aluguel,-15.8399411,-48.0606662
"SQSW 504 Bloco H, SUDOESTE, BRASILIA",,apartamento,4000.0,77.0,2.0,,1.0,aluguel,,
"EPTG QE 2, QUADRAS ECONOMICAS LUCIO COSTA, GUARA",,apartamento,3450.0,82.0,1.0,,2.0,aluguel,-15.8091532,-47.9870883
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,3000.0,80.0,2.0,,1.0,aluguel,-15.8325794,-48.010596
"QI 31 Lote 07, GUARA II, GUARA",,apartamento,2200.0,58.0,2.0,,,aluguel,,
"SQN 312 Bloco F, ASA NORTE, BRASILIA",,apartamento,5500.0,80.0,2.0,,,aluguel,,
"SGAN 912 Módulo D, ASA NORTE, BRASILIA",,kitnet,2490.0,25.0,1.0,,1.0,aluguel,-15.7759483,-47.8995769
"QS 502 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2890.0,60.0,2.0,,1.0,aluguel,,
"QR 4 Conjunto A, CANDANGOLANDIA, CANDANGOLANDIA",,apartamento,1500.0,60.0,2.0,,,aluguel,-15.8503771,-47.9480483
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,6300.0,128.0,4.0,,2.0,aluguel,-15.8400497,-48.0206766
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,kitnet,800.0,30.0,1.0,,,aluguel,,
"SHTN, ASA NORTE, BRASILIA",,apartamento,3700.0,30.0,1.0,,1.0,aluguel,-15.7888828,-47.8318449
"SGCV Lote 24, PARK SUL, BRASILIA",,apartamento,15000.0,204.0,4.0,,4.0,aluguel,-15.8247211,-47.9537743
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,1800.0,30.0,1.0,,,aluguel,-15.8325794,-48.010596
"QRSW 7 Bloco A 11, SUDOESTE, BRASILIA",,apartamento,3450.0,70.0,2.0,,,aluguel,,
"CCSW 2 Lote 3, SUDOESTE, BRASILIA",,apartamento,7500.0,50.0,2.0,,2.0,aluguel,-15.7978594,-47.9284452
"CSB 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,1600.0,77.0,3.0,,,aluguel,-15.8374746,-48.0557361
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,22990.0,315.0,4.0,,3.0,aluguel,-15.8247211,-47.9537743
"CSG 3, TAGUATINGA SUL, TAGUATINGA",,apartamento,2430.0,47.0,1.0,,1.0,aluguel,-15.8662108,-48.0340308
"SQN 202 Bloco A, ASA NORTE, BRASILIA",,apartamento,8900.0,160.0,3.0,,1.0,aluguel,-15.7827782,-47.8774184
"Área Especial 02 Módulo F, GUARA II, GUARA",,apartamento,2350.0,38.0,1.0,,1.0,aluguel,,
"Quadra 101, NORTE, AGUAS CLARAS",,apartamento,3100.0,53.0,2.0,,1.0,aluguel,-15.8325794,-48.010596
"QS 410 Conjunto G, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1400.0,40.0,2.0,,,aluguel,-15.8818507,-48.0908091
"SQS 216 Bloco J, ASA SUL, BRASILIA",,apartamento,7400.0,163.0,3.0,,1.0,aluguel,,
"SETOR DE MANSOES SUDESTE, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,3700.0,120.0,3.0,,,aluguel,-15.8688914,-48.0728585
"Área Especial 02 Módulo A, GUARA II, GUARA",,apartamento,3400.0,56.0,2.0,,1.0,aluguel,,
"SQS 104, ASA SUL, BRASILIA",,apartamento,10000.0,153.0,4.0,,2.0,aluguel,-15.8085911,-47.8942577
"Avenida Jacarandá, SUL, AGUAS CLARAS",,apartamento,1600.0,30.0,1.0,,1.0,aluguel,-15.8411919,-48.0307388
"SGCV Lote 13, PARK SUL, BRASILIA",,apartamento,3100.0,28.0,1.0,,1.0,aluguel,-15.8247211,-47.9537743
"QMSW 5 Lote 2 Bloco A, SUDOESTE, BRASILIA",,kitnet,1650.0,30.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"QS 111, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,450.0,40.0,1.0,,,aluguel,-15.8732132,-48.0590056
"SQNW 110 Bloco G, NOROESTE, BRASILIA",,apartamento,10500.0,155.0,4.0,,2.0,aluguel,,
"Avenida Flamboyant, NORTE, AGUAS CLARAS",,apartamento,2000.0,40.0,1.0,,1.0,aluguel,-15.8369691,-48.0311046
"QI 33, GUARA II, GUARA",,apartamento,3600.0,90.0,3.0,,1.0,aluguel,-15.8402392,-47.9684168
"SQNW 108 Bloco J, NOROESTE, BRASILIA",,apartamento,9500.0,153.0,3.0,,2.0,aluguel,-15.750479,-47.9097874
"Rua 13, NORTE, AGUAS CLARAS",,apartamento,2300.0,33.0,1.0,,1.0,aluguel,-3.0556248,-59.9801944
"QI 31 Lote 08, GUARA II, GUARA",,apartamento,2650.0,43.0,1.0,,1.0,aluguel,,
"QN 122 Conjunto 15, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,950.0,33.0,1.0,,1.0,aluguel,-15.8679881,-48.0589046
"SQN 403, ASA NORTE, BRASILIA",,apartamento,4100.0,80.0,2.0,,,aluguel,-15.7552101,-47.8811552
"QN 312 Conjunto 7, SAMAMBAIA SUL, SAMAMBAIA",,kitnet,1200.0,28.0,1.0,,,aluguel,,
"QS 111 Conjunto I, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,450.0,30.0,1.0,,,aluguel,,
"Rua 12, NORTE, AGUAS CLARAS",,apartamento,2300.0,70.0,3.0,,1.0,aluguel,-3.0617746,-59.9752761
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,5900.0,160.0,4.0,,2.0,aluguel,-29.9198671,-51.0635217
"QNO 19, CEILANDIA NORTE, CEILANDIA",,apartamento,1800.0,60.0,3.0,,1.0,aluguel,-15.7964356,-48.1176621
"SGAN 910, ASA NORTE, BRASILIA",,kitnet,1500.0,30.0,1.0,,2.0,aluguel,-15.7594861,-47.8959302
"Quadra 103, NORTE, AGUAS CLARAS",,apartamento,2750.0,73.0,2.0,,2.0,aluguel,-15.8334832,-48.0170868
"Rua 18, GUARA II, GUARA",,apartamento,1450.0,70.0,2.0,,,aluguel,-15.8495918,-47.9765008
"QI 33, GUARA II, GUARA",,apartamento,9500.0,233.0,3.0,,3.0,aluguel,-15.8402392,-47.9684168
"QN 112, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2000.0,53.0,2.0,,1.0,aluguel,-15.8680685,-48.0841972
"SAGOCA, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1550.0,50.0,2.0,,1.0,aluguel,-15.7965494,-48.0945498
"Rua COPAIBA, SUL, AGUAS CLARAS",,apartamento,1980.0,45.0,2.0,,1.0,aluguel,-15.8342015,-48.0399113
"SQS 409 Bloco S, ASA SUL, BRASILIA",,apartamento,3200.0,65.0,2.0,,,aluguel,,
"SGCV Lote 27, PARK SUL, BRASILIA",,apartamento,20000.0,622.0,4.0,,5.0,aluguel,-15.8247211,-47.9537743
"QMSW 6 Lote 4, SUDOESTE, BRASILIA",,kitnet,1800.0,23.0,1.0,,1.0,aluguel,-15.7946423,-47.921738
"SQNW 109, NOROESTE, BRASILIA",,apartamento,6400.0,77.0,2.0,,2.0,aluguel,-15.7470195,-47.9102839
"SQS 415 Bloco T, ASA SUL, BRASILIA",,apartamento,4500.0,52.0,2.0,,,aluguel,,
"QS 402, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1350.0,50.0,1.0,,,aluguel,-15.8691111,-48.0904886
"QI 25 Bloco A AO O Lote 05/17, GUARA II, GUARA",,apartamento,2800.0,97.0,3.0,,1.0,aluguel,,
"CNB 2, TAGUATINGA NORTE, TAGUATINGA",,apartamento,2000.0,60.0,2.0,,1.0,aluguel,-15.8196594,-48.0625276
"Quadra 205, SUL, AGUAS CLARAS",,apartamento,7100.0,243.0,4.0,,3.0,aluguel,-29.9198671,-51.0635217
"SQS 116, ASA SUL, BRASILIA",,apartamento,14000.0,275.0,4.0,,2.0,aluguel,-15.8164055,-47.9080336
"SQNW 107 Bloco G, NOROESTE, BRASILIA",,apartamento,23000.0,217.0,3.0,,4.0,aluguel,,
"Quadra 204, SUL, AGUAS CLARAS",,apartamento,2500.0,70.0,1.0,,1.0,aluguel,-29.9198671,-51.0635217
"QN 407 Conjunto E, SAMAMBAIA NORTE, SAMAMBAIA",,apartamento,1000.0,30.0,1.0,,,aluguel,,
"SQN 205 Bloco B, ASA NORTE, BRASILIA",,apartamento,7200.0,92.0,3.0,,1.0,aluguel,,
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,1500.0,27.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"SQS 212 Bloco D, ASA SUL, BRASILIA",,apartamento,1900.0,35.0,1.0,,1.0,aluguel,,
"SQN 211 Bloco E, ASA NORTE, BRASILIA",,apartamento,5400.0,74.0,2.0,,2.0,aluguel,-15.7535322,-47.8851746
"Rua 35, SUL, AGUAS CLARAS",,apartamento,2900.0,57.0,2.0,,1.0,aluguel,-15.8379105,-48.0389736
"QNM 18 Conjunto A, CEILANDIA NORTE, CEILANDIA",,apartamento,1200.0,60.0,2.0,,,aluguel,-15.8145908,-48.1025213
"QR 120, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1500.0,55.0,2.0,,1.0,aluguel,-15.8697766,-48.0832788
"Quadra 202, SUL, AGUAS CLARAS",,apartamento,2200.0,70.0,2.0,,1.0,aluguel,-29.9198671,-51.0635217
"SEPS 713/913, ASA SUL, BRASILIA",,kitnet,3000.0,25.0,1.0,,2.0,aluguel,-15.8199601,-47.9212181
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,3000.0,124.0,3.0,,1.0,aluguel,-29.9198671,-51.0635217
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"CSG 11, TAGUATINGA SUL, TAGUATINGA",,apartamento,1400.0,44.0,2.0,,1.0,aluguel,-15.8710464,-48.0323452
"SHCES Quadra 913 Bloco E, NOVO, CRUZEIRO",,apartamento,3000.0,66.0,3.0,,,aluguel,,
"Rua 37, SUL, AGUAS CLARAS",,apartamento,2400.0,42.0,1.0,,1.0,aluguel,-15.8348133,-48.0390942
"Avenida Dom Bosco Bloco 790, NUCLEO BANDEIRANTE, NUCLEO BANDEIRANTE",,apartamento,1900.0,67.0,2.0,,,aluguel,-15.8695795,-47.9679168
"SQS 204 Bloco C, ASA SUL, BRASILIA",,apartamento,5900.0,91.0,3.0,,1.0,aluguel,,
"CRS 510 Bloco B, ASA SUL, BRASILIA",,apartamento,1600.0,58.0,2.0,,,aluguel,,
"SQS 116, ASA SUL, BRASILIA",,apartamento,14000.0,275.0,4.0,,2.0,aluguel,-15.8164055,-47.9080336
"SQS 302, ASA SUL, BRASILIA",,apartamento,6800.0,140.0,3.0,,1.0,aluguel,-15.8164055,-47.9080336
"QE 20 Conjunto N, GUARA I, GUARA",,kitnet,950.0,30.0,1.0,,,aluguel,-15.8418418,-47.974984
"Rua 37, SUL, AGUAS CLARAS",,apartamento,2800.0,56.0,2.0,,1.0,aluguel,-15.8348133,-48.0390942
"SGCV, PARK SUL, BRASILIA",,apartamento,4500.0,78.0,3.0,,2.0,aluguel,-15.8247211,-47.9537743
"Alameda das Acácias Quadra 107, NORTE, AGUAS CLARAS",,apartamento,3500.0,90.0,3.0,,2.0,aluguel,,
"Avenida Parque Águas Claras, NORTE, AGUAS CLARAS",,apartamento,2800.0,40.0,2.0,,1.0,aluguel,-15.8311467,-48.0150679
"EQNO 9/11 Bloco A, CEILANDIA NORTE, CEILANDIA",,apartamento,800.0,30.0,1.0,,,aluguel,,
"QNB 11, TAGUATINGA NORTE, TAGUATINGA",,apartamento,1900.0,100.0,3.0,,,aluguel,-15.8238235,-48.0628459
"SQN 214 Bloco K, ASA NORTE, BRASILIA",,apartamento,4900.0,79.0,2.0,,1.0,aluguel,,
"Rua 18, SUL, AGUAS CLARAS",,apartamento,4500.0,62.0,2.0,,1.0,aluguel,-15.8383235,-48.0231139
"SQNW 307 Bloco C, NOROESTE, BRASILIA",,kitnet,3200.0,32.0,1.0,,1.0,aluguel,,
"SQN 214 Bloco K, ASA NORTE, BRASILIA",,apartamento,5200.0,79.0,2.0,,1.0,aluguel,,
"SQS 407, ASA SUL, BRASILIA",,apartamento,5500.0,78.0,3.0,,,aluguel,-15.8204784,-47.8969378
"QN 106, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1000.0,43.0,2.0,,,aluguel,-15.8680685,-48.0841972
"QC 4, JARDINS MANGUEIRAL, BRASILIA",,apartamento,2100.0,49.0,2.0,,1.0,aluguel,-15.8917675,-47.8135852
"CCSW 2 Lote 3, SUDOESTE, BRASILIA",,apartamento,7500.0,115.0,2.0,,1.0,aluguel,-15.7978594,-47.9284452
"Quadra 203, SUL, AGUAS CLARAS",,apartamento,3100.0,130.0,3.0,,1.0,aluguel,-29.9198671,-51.0635217
"SQNW 306 Bloco J, NOROESTE, BRASILIA",,apartamento,14800.0,213.0,3.0,,4.0,aluguel,,
"CCSW 4, SUDOESTE, BRASILIA",,kitnet,1900.0,30.0,1.0,,1.0,aluguel,-15.7967824,-47.9295357
"Área Especial 4 Módulo K, GUARA II, GUARA",,apartamento,3300.0,68.0,2.0,,1.0,aluguel,,
"Rua MANACA, SUL, AGUAS CLARAS",,apartamento,2200.0,58.0,2.0,,1.0,aluguel,-15.8343289,-48.0086332
"QI 4 AREA CENTRAL, GUARA I, GUARA",,apartamento,1950.0,55.0,2.0,,,aluguel,,
"Rua DAS PITANGUEIRAS, NORTE, AGUAS CLARAS",,apartamento,2200.0,60.0,2.0,,1.0,aluguel,-15.8339602,-48.0176747
