description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"Avenida das Araucárias, SUL, AGUAS CLARAS",,apartamento,2100.0,37.0,1.0,,1.0,aluguel,-15.8400497,-48.0206766
"Rua 12 Chacará 145, VICENTE PIRES, VICENTE PIRES",,apartamento,1500.0,60.0,2.0,,1.0,aluguel,-15.7929037,-48.0313329
"SQN 114 Bloco G, ASA NORTE, BRASILIA",,apartamento,4200.0,82.0,2.0,,,aluguel,-15.7457063,-47.8917485
"CCSW 04 Lote 01, SUDOESTE, BRASILIA",,kitnet,2000.0,30.0,1.0,,1.0,aluguel,,
"SQSW 104 Bloco E, SUDOESTE, BRASILIA",,apartamento,13000.0,169.0,4.0,,2.0,aluguel,-15.8049392,-47.9279162
"QS 303 Conjunto 6, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,1850.0,47.0,2.0,,1.0,aluguel,-15.882049,-48.0913379
"Condomínio Jardim Botânico V, JARDIM BOTANICO, BRASILIA",,apartamento,2500.0,75.0,2.0,,,aluguel,-15.8729314,-47.8143748
"Área Especial 4 Módulo L, GUARA II, GUARA",,apartamento,3000.0,74.0,2.0,,1.0,aluguel,,
"Rua 28, NORTE, AGUAS CLARAS",,apartamento,5500.0,175.0,4.0,,3.0,aluguel,-15.8376579,-48.0312149
"SQSW 302, SUDOESTE, BRASILIA",,apartamento,14500.0,208.0,4.0,,3.0,aluguel,-15.7978707,-47.9232794
"QMSW 5, SUDOESTE, BRASILIA",,kitnet,1600.0,28.0,1.0,,1.0,aluguel,-15.7940053,-47.9197148
"SHTN Trecho 1, ASA NORTE, BRASILIA",,apartamento,6080.0,57.0,1.0,,,aluguel,-15.7888828,-47.8318449
"SQS 211, ASA SUL, BRASILIA",,apartamento,14800.0,149.0,3.0,,1.0,aluguel,-15.8257602,-47.9092333
"SQNW 307 Bloco I, NOROESTE, BRASILIA",,apartamento,5500.0,74.0,2.0,,2.0,aluguel,,
"CCSW 1, SUDOESTE, BRASILIA",,apartamento,5000.0,26.0,1.0,,1.0,aluguel,-15.7968509,-47.9274085
"Quadra 210, SUL, AGUAS CLARAS",,apartamento,2700.0,50.0,1.0,,1.0,aluguel,-29.9198671,-51.0635217
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4500.0,42.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"Rua 25, NORTE, AGUAS CLARAS",,apartamento,5600.0,140.0,3.0,,1.0,aluguel,-11.713512,-49.1046261
"SQS 312 Bloco J, ASA SUL, BRASILIA",,apartamento,15500.0,320.0,4.0,,2.0,aluguel,,
"Rua 7, NORTE, AGUAS CLARAS",,apartamento,1999.0,41.0,1.0,,257.0,aluguel,-15.8407306,-48.0260912
"SCES Trecho 4, ASA SUL, BRASILIA",,apartamento,4700.0,52.0,1.0,,1.0,aluguel,-15.8253954,-47.8868277
"Rua 28, NORTE, AGUAS CLARAS",,apartamento,3600.0,69.0,2.0,,1.0,aluguel,-15.8376579,-48.0312149
"CCSW 1, SUDOESTE, BRASILIA",,apartamento,4900.0,26.0,1.0,,1.0,aluguel,-15.7968509,-47.9274085
"Quadra 301 Conjunto 8, SAMAMBAIA SUL, SAMAMBAIA",,apartamento,2150.0,50.0,2.0,,1.0,aluguel,-15.8823692,-48.0878368
"Rodovia DF 150, GRANDE COLORADO, SOBRADINHO",,apartamento,1400.0,50.0,2.0,,1.0,aluguel,-15.6775259,-47.8262262
"CLNW 10/11 Lote F, NOROESTE, BRASILIA",,apartamento,3014.0,50.0,1.0,,1.0,aluguel,,
"Rua 14, NORTE, AGUAS CLARAS",,apartamento,7000.0,178.0,4.0,,3.0,aluguel,-3.056255,-59.9805856
"SQS 405 Bloco O, ASA SUL, BRASILIA",,apartamento,3700.0,80.0,3.0,,,aluguel,,
