description,address,property_type,price,size,bedrooms,bathrooms,parking_spaces,contract_type,latitude,longitude
"QS 118 Conjunto 2SAMAMBAIA SUL, SAMAMBAIA",,apartamento,270720.0,46.0,2.0,,,venda,-15.8700528,-48.0630882
"SQNW 103 Bloco GNOROESTE, BRASILIA",,apartamento,,102.0,3.0,,,venda,-15.7642039,-47.9088187
"SQNW 303 Bloco A, NOROESTE, BRASILIA",,apartamento,1895.0,149.0,2.0,,2.0,venda,-15.7649548,-47.9112123
"SQSW 500SUDOESTE, BRASILIA",,apartamento,7060.0,395.0,4.0,,,venda,-15.7859792,-47.9215024
"SQN 110, ASA NORTE, BRASILIA",,apartamento,2750.0,176.0,3.0,,2.0,venda,-15.7570875,-47.8878218
"QN 120 Conjunto 3SAMAMBAIA SUL, SAMAMBAIA",,apartamento,,,,,,venda,-15.8668857,-48.0621251
"SQN 311, ASA NORTE, BRASILIA",,apartamento,2400.0,223.0,4.0,,2.0,venda,-15.7544473,-47.8915297
"CRNW 710, NOROESTE, BRASILIA",,apartamento,650000.0,34.0,1.0,,1.0,venda,-15.7468325,-47.9147637
"QI 23 Lote 5GUARA II, GUARA",,apartamento,1398.0,100.0,3.0,,,venda,-15.8378291,-47.9868412
"SQNW 107 Bloco E, NOROESTE, BRASILIA",,apartamento,5200.0,406.0,4.0,,5.0,venda,-15.7525912,-47.9105672
"SQNW 306 Bloco CNOROESTE, BRASILIA",,apartamento,1300.0,64.0,2.0,,,venda,-15.7566108,-47.9127078
"SQSW 306 Bloco A, SUDOESTE, BRASILIA",,apartamento,1549.0,96.0,3.0,,1.0,venda,-15.8072386,-47.9355409
"Rua 26, NORTE, AGUAS CLARAS",,apartamento,1250.0,145.0,4.0,,4.0,venda,-15.8364806,-48.0301581
"QI 33GUARA II, GUARA",,apartamento,,115.0,3.0,,,venda,-15.7910772,-47.8798667
"SQNW 106 Bloco D, NOROESTE, BRASILIA",,apartamento,3390.0,188.0,3.0,,4.0,venda,-15.7562201,-47.9088064
"SQSW 500 Bloco OSUDOESTE, BRASILIA",,apartamento,,157.0,4.0,,,venda,-15.7856059,-47.920991
"SGCVPARK SUL, BRASILIA",,apartamento,,64.0,2.0,,,venda,-15.7975154,-47.89188739999999
"SQS 115, ASA SUL, BRASILIA",,apartamento,3100.0,232.0,4.0,,2.0,venda,-15.8301369,-47.9227479
"SQNW 107 Bloco C, NOROESTE, BRASILIA",,apartamento,2150.0,175.0,3.0,,3.0,venda,-15.7533873,-47.9101006
